"id"	"institute"	"town"	"socken"	"harad"	"diocese"	"shape"	"year"
"VM3108"	"Värmlands museum, Karlstad"	"Skara on the border with Norway b/c Norwegian and Skara saints. Probably Värmland"	"0"	"0"	"Skara"	"sword"	"1614"
"VM3109"	"Värmlands museum, Karlstad"	"0"	"0"	"0"	"0"	"staff, octagonal"	"0"
"VM3110"	"Värmlands museum, Karlstad"	"Possibly Värmland: Mostly Finnish, though with Rikssvensk 19/1 Henrik and Norwegian 15/5 Halvard"	"0"	"0"	"Åbo"	"staff"	"1718, 1722"
"VM3111"	"Värmlands museum, Karlstad"	"Skara on the border with Norway (Värmland, Dalsland) b/c Norwegian and Skara saints"	"0"	"0"	"Skara"	"sword"	"0"
"VM3112"	"Värmlands museum, Karlstad"	"Skara on the border with Norway b/c Norwegian and Skara saints. Probably Värmland"	"0"	"0"	"Skara"	"sword"	"0"
"VM3113"	"Värmlands museum, Karlstad"	"Skara on the border with Norway b/c Norwegian and Skara saints. Probably Värmland"	"0"	"0"	"Skara"	"sword"	"0"
"VM3114"	"Värmlands museum, Karlstad"	"0"	"0"	"0"	"0"	"fancy walking stick"	""
"VM32258"	"Värmlands museum, Karlstad"	"0"	"0"	"0"	"0"	"fancy walking stick"	""
"VM20557"	"Värmlands museum, Karlstad"	"Skåne / Halland (possibly Lund)"	"0"	"0"	"?Lund"	"sword"	"1666"
"SÄM1002"	"Sörmlands museum, Strängnäs"	"0"	"0"	"0"	"Uppsala"	"sword"	"Probably 1600s"
"SÄM1003"	"Sörmlands museum, Strängnäs"	"0"	"0"	"0"	"0"	"fancy walking stick"	"pre-1857"
"SÄM1004"	"Sörmlands museum, Strängnäs"	"0"	"0"	"0"	"0"	"fancy walking stick"	"pre-1857"
"SÄM1005"	"Sörmlands museum, Strängnäs"	"0"	"0"	"0"	"0"	"fancy walking stick, octagonal"	"pre-1855"
"SÄM1006"	"Sörmlands museum, Strängnäs"	"0"	"0"	"0"	"0"	"fancy walking stick"	""
"SÄM1007"	"Sörmlands museum, Strängnäs"	"0"	"0"	"0"	"0"	"staff, heptagonal"	"pre-1858"
"SÄM1008"	"Sörmlands museum, Strängnäs"	"0"	"0"	"0"	"0"	"staff, octagonal"	"1642"
"SLM20364"	"Södermanlands länsmuseum"	"Dalarna"	"0"	""	"Dalarna"	"paddle"	"1728"
"SLM20367"	"Södermanlands länsmuseum"	"Skara / Lund"	"0"	"0"	"Skara / Lund"	"staff, hexagonal"	"Probably 1600-1650"
"NM6454"	"Nordiska museet"	"Dalarna"	"Leksand"	""	"Dalarna"	"staff"	"1718, 1852"
"NM81378"	"Nordiska museet"	"Dalarna"	"0"	""	"Dalarna"	"paddle/sword"	"0"
"NM81621"	"Nordiska museet"	"Dalarna"	"Sollerö"	""	"Dalarna"	"paddle"	"0"
"NM40594"	"Nordiska museet"	"0"	"Älvdalen"	""	"Västerås"	"paddle"	"1656, 1660, 1661"
"NM64455"	"Nordiska museet"	"Dalarna"	"Venjan"	""	"Dalarna"	"paddle"	"1644, 1649, 1651, 1713, 1714, 1841"
"NM33039"	"Nordiska museet"	"Orsbleck, Dalarna"	"Orsa"	""	"Dalarna"	"paddle"	"1634, 1736"
"NM178178"	"Nordiska museet"	"0"	"Värmdö"	"Värmdö skeppslag"	"Uppsala"	"paddle/sword"	"0"
"NM77715"	"Nordiska museet"	"0"	"Lillhärdal"	""	"Härjedalen"	"paddle"	"0"
"NM43612"	"Nordiska museet"	"Dalarna"	"Mora"	""	"Dalarna"	"paddle"	"1565, 1594"
"NM31145"	"Nordiska museet"	"Dalarna"	"Älvdalen"	""	"Västerås"	"paddle"	"1645"
"NM31146"	"Nordiska museet"	"Månsta"	"Älvdalen"	""	"Västerås"	"paddle"	"0"
"NM174921"	"Nordiska museet"	"Dalarna"	"0"	""	"Dalarna"	"paddle"	"0"
"NM43613"	"Nordiska museet"	"Dalarna"	"Mora"	""	"Dalarna"	"paddle"	"0"
"NM46866"	"Nordiska museet"	"Dalarna"	"Mora"	""	"Dalarna"	"paddle"	"1588"
"NM20316"	"Nordiska museet"	"Dalarna"	"0"	""	"Dalarna"	"paddle"	"1664"
"NM14941"	"Nordiska museet"	"Dalarna"	"0"	""	"Dalarna"	"paddle"	"1730"
"NM15798"	"Nordiska museet"	"Dalarna"	"Orsa"	""	"Dalarna"	"sword, octagonal"	"1731, 1768, 1821"
"NM14302"	"Nordiska museet"	"Dalarna"	"Venjan"	""	"Dalarna"	"paddle"	"1851"
"NM46867"	"Nordiska museet"	"Dalarna"	"Mora"	""	"Dalarna"	"paddle"	"0"
"NM46868"	"Nordiska museet"	"Dalarna"	"Mora"	""	"Dalarna"	"paddle"	"1595"
"NM53155"	"Nordiska museet"	"Orsa kommun, Dalarna"	"Skattunge"	""	"Västerås"	"paddle"	"0"
"NM124228"	"Nordiska museet"	"0"	"0"	"0"	"0"	"paddle"	"1593, 1611, 1640"
"NM34513"	"Nordiska museet"	"0"	"Älvdalen"	""	"Västerås"	"paddle"	"0"
"NM20350"	"Nordiska museet"	"Dalarna"	"Mora"	""	"Dalarna"	"paddle"	"1618, 1648, 1850, 1664, 1676"
"NM25911"	"Nordiska museet"	"Dalarna"	"Mora"	""	"Dalarna"	"paddle"	"0"
"NM25914"	"Nordiska museet"	"0"	"Älvdalen"	""	"Västerås"	"paddle"	"0"
"NM25913"	"Nordiska museet"	"0"	"Älvdalen"	""	"Västerås"	"paddle"	"0"
"NM25915"	"Nordiska museet"	"0"	"Älvdalen"	""	"Västerås"	"paddle"	"1629"
"NM25916"	"Nordiska museet"	"0"	"Älvdalen"	""	"Västerås"	"paddle"	"0"
"NM18937"	"Nordiska museet"	"Evertsberg"	"Älvdalen"	""	"Västerås"	"paddle"	"1658, 1667"
"NM21712"	"Nordiska museet"	"Dalarna"	"Leksand"	""	"Dalarna"	"paddle"	"0"
"NM12900"	"Nordiska museet"	"Dalarna"	"Mora"	""	"Dalarna"	"paddle"	"0"
"NM25919"	"Nordiska museet"	""	""	""	""	""	""
"NM25921"	"Nordiska museet"	""	""	""	""	""	""
"NM26847"	"Nordiska museet"	""	""	""	""	""	""
"NM26842"	"Nordiska museet"	""	""	""	""	""	""
"NM26851"	"Nordiska museet"	""	""	""	""	""	""
"NM27172"	"Nordiska museet"	""	""	""	""	""	""
"NM30214"	"Nordiska museet"	"Dalarna"	"0"	"0"	"Västerås"	""	""
"NM9759"	"Nordiska museet"	"in ink: wika, mora"	"Mora"	""	"Västerås"	"paddle"	"1726"
"NM2429"	"Nordiska museet"	"Dalarna"	"Mora"	""	"Västerås"	"paddle"	"1627"
"NM2430"	"Nordiska museet"	"Dalarna"	"Mora"	""	"Västerås"	"paddle"	"0"
"NM6971"	"Nordiska museet"	"Dalarna"	"Älvdalen"	""	"Västerås"	"paddle"	"0"
"NM4752"	"Nordiska museet"	"Dalarna"	"Mora"	""	"Västerås"	"paddle"	"1504"
"NM6453"	"Nordiska museet"	"Dalarna"	"Mora"	""	"Västerås"	"paddle"	"0"
"NM12684"	"Nordiska museet"	"Dalarna"	"Sollerö"	""	"Västerås"	"paddle"	"1628, 1639"
"NM12699"	"Nordiska museet"	"Dalarna"	"Sollerö"	""	"Västerås"	"paddle"	"0"
"NM12712"	"Nordiska museet"	"Dalarna"	"Venjan"	""	"Västerås"	"paddle"	"1654, 1656, 1664, 1673, 1652, 1680"
"NM19106"	"Nordiska museet"	"Dalarna"	"Lima"	""	"Västerås"	"paddle"	"0"
"NM12702"	"Nordiska museet"	"Dalarna"	"Sollerö"	""	"Västerås"	"paddle"	"0"
"NM30610"	"Nordiska museet"	"Dalarna"	"Malung"	""	"Västerås"	"paddle"	"0"
"NM56966"	"Nordiska museet"	"Dalarna"	"Leksand"	""	"Västerås"	"paddle"	"1675 (later addition)"
"NM12701"	"Nordiska museet"	"Dalarna"	"Sollerö"	""	"Västerås"	"paddle"	"1658"
"NM25917"	"Nordiska museet"	"Dalrunor"	"0"	"0"	"Västerås"	"paddle"	"1709"
"NM174952"	"Nordiska museet"	""	""	""	""	""	""
"NM124226"	"Nordiska museet"	"0"	"0"	"0"	"0"	"sword"	"1651"
"NM22787"	"Nordiska museet"	"0"	"0"	"0"	"0"	"walking stick, round"	"1662"
"NM17314"	"Nordiska museet"	"Dalarna"	"Mora"	""	"Västerås"	"paddle"	"0"
"NM12847"	"Nordiska museet"	"Dalarna"	"Mora"	""	"Västerås"	"paddle"	"1653"
"NM174987"	"Nordiska museet"	"Dalarna"	"0"	""	"Västerås"	"paddle"	"0"
"NM82928"	"Nordiska museet"	"Dalarna"	"Mora"	""	"Västerås"	"paddle"	"0"
"NM25922"	"Nordiska museet"	"Dalarna"	"Älvdalen"	""	"Västerås"	"paddle"	"0"
"NM43614"	"Nordiska museet"	"Dalarna"	"0"	""	"Västerås"	"paddle"	"0"
"NM30764"	"Nordiska museet"	"Dalarna"	"0"	""	"Dalarna"	"paddle"	"0"
"NM31945"	"Nordiska museet"	"Dalarna"	"0"	""	"Dalarna"	"paddle"	"0"
"NM37565"	"Nordiska museet"	"Småland"	"0"	"0"	"Småland"	"sword"	"0"
"NM25918"	"Nordiska museet"	"Dalarna"	"Älvdalen"	""	"Västerås"	"paddle"	"1668, 1692"
"NM13169"	"Nordiska museet"	"Dalarna"	"Älvdalen"	""	"Västerås"	"paddle"	"1644"
"NM18936"	"Nordiska museet"	"Dalarna, Mångsbo fäboder"	"0"	""	"Västerås"	"paddle"	"1746"
"NM4753"	"Nordiska museet"	"Mångsbo fäboder, Dalarna"	"Mora"	""	"Dalarna"	"paddle"	"1554"
"NM12912"	"Nordiska museet"	""	""	""	""	""	""
